id,player_api_id,player_name,player_fifa_api_id,birthday,height,weight,id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
3544,30631,Frank Lampard,5471,1978-06-20 00:00:00,182.88,196,59245,5471,30631,2016-05-12 00:00:00,77,77,right,medium,medium,79,72,65,82,79,74,84,79,82,80,34,40,52,80,55,85,67,55,73,82,72,60,80,77,84,52,62,57,12,14,15,10,8
3544,30631,Frank Lampard,5471,1978-06-20 00:00:00,182.88,196,59246,5471,30631,2016-04-07 00:00:00,78,78,right,medium,medium,79,75,65,82,79,76,84,79,82,80,34,40,58,80,55,85,67,60,74,82,72,62,82,77,84,52,62,62,12,14,15,10,8
3544,30631,Frank Lampard,5471,1978-06-20 00:00:00,182.88,196,59247,5471,30631,2015-12-10 00:00:00,79,79,right,medium,medium,81,78,71,84,83,76,84,79,84,82,34,34,58,80,55,85,67,60,74,82,75,65,84,77,84,52,65,65,12,14,15,10,8
3544,30631,Frank Lampard,5471,1978-06-20 00:00:00,182.88,196,59248,5471,30631,2015-09-21 00:00:00,79,79,right,medium,medium,81,78,71,84,83,76,84,79,84,82,34,34,58,80,55,85,67,60,74,82,75,65,84,77,84,52,65,65,12,14,15,10,8
3544,30631,Frank Lampard,5471,1978-06-20 00:00:00,182.88,196,59249,5471,30631,2015-08-14 00:00:00,79,79,right,medium,medium,81,83,71,84,87,76,84,79,84,82,34,34,68,80,55,85,67,61,74,82,75,65,88,77,84,52,65,65,12,14,15,10,8
3544,30631,Frank Lampard,5471,1978-06-20 00:00:00,182.88,196,59250,5471,30631,2015-07-16 00:00:00,79,79,right,medium,medium,81,83,71,84,87,76,84,79,84,82,34,46,68,80,56,85,67,61,74,82,75,65,88,77,84,52,65,65,12,14,15,10,8
3544,30631,Frank Lampard,5471,1978-06-20 00:00:00,182.88,196,59251,5471,30631,2015-07-10 00:00:00,79,79,right,medium,medium,81,83,71,84,87,76,84,79,84,82,34,46,68,80,56,85,67,61,74,82,75,65,85,77,84,52,65,65,12,14,15,10,8
3544,30631,Frank Lampard,5471,1978-06-20 00:00:00,182.88,196,59252,5471,30631,2015-04-10 00:00:00,79,79,right,medium,medium,81,83,71,84,87,76,84,79,84,82,34,46,68,80,56,85,67,61,74,82,75,65,85,77,84,52,65,65,12,14,15,10,8
3544,30631,Frank Lampard,5471,1978-06-20 00:00:00,182.88,196,59253,5471,30631,2015-03-20 00:00:00,79,79,right,medium,medium,81,83,71,84,87,76,84,79,84,82,34,46,68,80,56,85,67,61,74,83,75,65,85,77,84,52,65,65,12,14,15,10,8
3544,30631,Frank Lampard,5471,1978-06-20 00:00:00,182.88,196,59254,5471,30631,2015-01-16 00:00:00,79,79,right,medium,medium,81,83,71,84,87,76,84,79,84,82,34,46,68,80,56,85,67,61,74,83,75,65,85,77,86,52,65,65,12,14,15,10,8
