id,player_api_id,player_name,player_fifa_api_id,birthday,height,weight,id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
10028,30618,Steven Gerrard,13743,1980-05-30 00:00:00,182.88,183,167104,13743,30618,2016-01-28 00:00:00,81,81,right,medium,medium,86,76,75,83,80,74,84,82,86,82,55,54,59,85,60,90,71,68,75,82,85,70,78,78,85,63,69,68,13,15,13,5,10
10028,30618,Steven Gerrard,13743,1980-05-30 00:00:00,182.88,183,167105,13743,30618,2015-10-30 00:00:00,82,82,right,medium,medium,86,79,75,84,80,74,84,82,87,82,55,54,59,86,60,90,71,70,75,82,85,70,80,81,85,63,69,68,13,15,13,5,10
10028,30618,Steven Gerrard,13743,1980-05-30 00:00:00,182.88,183,167106,13743,30618,2015-10-23 00:00:00,83,83,right,medium,medium,86,79,75,84,80,74,84,82,87,82,55,54,59,86,60,90,71,74,75,82,85,70,80,81,85,63,69,68,13,15,13,5,10
10028,30618,Steven Gerrard,13743,1980-05-30 00:00:00,182.88,183,167107,13743,30618,2015-10-16 00:00:00,84,84,right,medium,medium,86,79,75,86,80,74,84,82,87,82,55,54,59,86,60,90,71,74,75,82,85,70,82,85,85,63,69,68,13,15,13,5,10
10028,30618,Steven Gerrard,13743,1980-05-30 00:00:00,182.88,183,167108,13743,30618,2015-09-25 00:00:00,84,84,right,medium,medium,86,79,75,86,80,74,84,82,87,82,55,54,59,86,60,90,71,74,82,82,85,70,82,85,85,63,73,68,13,15,13,5,10
10028,30618,Steven Gerrard,13743,1980-05-30 00:00:00,182.88,183,167109,13743,30618,2015-09-21 00:00:00,84,84,right,medium,medium,86,79,75,86,80,74,84,82,87,82,55,54,59,86,60,90,71,74,82,82,85,70,82,85,85,63,73,68,13,15,13,5,10
10028,30618,Steven Gerrard,13743,1980-05-30 00:00:00,182.88,183,167110,13743,30618,2015-08-14 00:00:00,81,81,right,medium,medium,86,79,75,86,80,74,84,82,87,82,55,54,59,86,60,90,71,74,82,82,85,70,82,85,85,63,73,68,13,15,13,5,10
10028,30618,Steven Gerrard,13743,1980-05-30 00:00:00,182.88,183,167111,13743,30618,2015-07-10 00:00:00,81,81,right,medium,medium,86,79,75,86,80,74,84,82,87,82,58,54,59,86,60,90,71,74,82,82,85,70,82,85,85,63,73,68,13,15,13,5,10
10028,30618,Steven Gerrard,13743,1980-05-30 00:00:00,182.88,183,167112,13743,30618,2015-05-15 00:00:00,81,81,right,medium,medium,86,79,75,86,80,74,84,82,87,82,58,54,59,86,60,90,71,74,82,82,85,70,82,85,85,63,73,68,13,15,13,5,10
10028,30618,Steven Gerrard,13743,1980-05-30 00:00:00,182.88,183,167113,13743,30618,2015-04-24 00:00:00,81,81,right,medium,medium,86,79,73,86,80,74,84,82,87,82,58,54,59,86,60,90,71,76,82,83,85,70,82,84,85,64,73,68,13,15,13,5,10
